Terme anglais;Terme français;Variant anglais;Variant français;Definition anglaise;Définition française;Note anglaise;Note française;Terme lié
GNormPlus;GNormPlus;;;GNormPlus enables an integrative approach to labeling of genes, gene families and protein domains. (Loterre);GNormPlus permet une approche intégrative pour l'étiquetage des gènes, des familles de gènes et des domaines protéiques. (Loterre);;;
gold label;étiquette de référence;;;The correct reference label assigned to a piece of text or a linguistic element in a dataset in supervised learning settings.;Catégorie préétablie qui sert de standard dans l'annotation d'éléments linguistiques ou de textes dans un contexte d'apprentissage automatique supervisé.;;;
golgotha;golgotha;;;Provides a wrapper to Bidirectional Encoder Representations from Transformers (BERT) for language modelling and textual entailment in particular. (https://cran.r-project.org/web/views/NaturalLanguageProcessing.html).;Wrapper pour BERT sous R. (Loterre);;;
government and binding theory;théorie du liage et du gouvernement;;;;;;;
government;rection;;;;;;;
GPT;GPT;generative pre-trained transformer;GPT;Language model based on transformers and unsupervised learning. (Loterre);Modèle de langue basé sur les transformeurs et l'apprentissage non supervisé. (Loterre);;;
gradient descent method;méthode de descente de gradient;"method of steepest descent;steepest descent2";;;;;;
grammar checker;correcteur grammatical;;;;;;;
grammatical agreement;accord grammatical;;;;;;;
grammatical case;cas;;cas grammatical;;;;;
grammatical category;catégorie grammaticale;grammatical feature;trait grammatical;;;;;
grammatical function;fonction grammaticale;;;;;;;
grammatical gender;genre grammatical;;genre;;;;;
grammatical loss;perte grammaticale;;;;;;;
grammatical morpheme;morphème grammatical;;;;;;;
grammatical number;nombre grammatical;number;nombre;;;;;
grammatical object;objet grammatical;;;;;;;
grammatical person;personne grammaticale;;;;;;;
grammatical subject;sujet grammatical;subject;sujet;;;;;
grammaticalization;grammaticalisation;"grammaticalisation;grammaticisation2grammaticization3grammatisation4grammatization5";;;;;;
graph attention network;réseau d'attention de graphes;GAT;;A neural network architecture for graph-structured data that uses masked self-attentional layers to overcome the limitations of prior approaches based on graph convolutions and their approximations. (Based on Waikhom and Patgiri, Principles of Big Graph: In-depth Insight, in Advances in Computers, 2023);Type de réseau neuronal qui utilise des mécanismes d'attention pour traiter des données structurées sous forme de graphes en y capturant efficacement les relations entre chaque élément.;;;
graph neural network;réseau neuronal de graphes;GNN;RNG;A type of neural network designed to operate on data that can be represented as graphs.;Architecture de réseau de neurones pour l'apprentissage automatique à partir de données structurées en graphes. (Data Franca);;On recense 3 approches à l'apprentissage automatique à partir de graphes : 1) l'utilisation d'un réseau convolutif (c.-à-d. réseau de graphes convolutif), 2) l'utilisation d'un réseau récurrent (c.-à-d. réseau de graphes récurrent) et 3) l'utilisation d'un réseau auto-attentif (c.-à-d. réseau de graphes auto-attentif). (Data Franca);
graph theory;théorie des graphes;;;The study of graphs, systems of nodes or vertices connected in pairs by lines or edges. (Wikipedia);Discipline mathématique et informatique qui étudie les graphiques en tant que structures mathématiques utilisées pour modéliser les relations entre les objets par paires. (Data Franca);;;
grapheme;graphème;;;;;;;
Graphene;Graphene;;;An information extraction pipeline which extracts Knowledge Graphs from texts (https://github.com/Lambda-3/Graphene).;Pipeline pour l'extraction d'informations qui extrait des graphes de connaissances à partir de textes. (source : https://github.com/Lambda-3/Graphene);;;
GreenBioBERT;GreenBioBERT;;;An inexpensive and environmentally friendly version of BioBERTv1.0. (Poerner et al., 2020);Version peu coûteuse et respectueuse de l'environnement de BioBERTv1.0. (Poerner et al., 2020);;;
grid search;recherche systématique;;;A searching technique used to define the best set of hyperparameters in a machine learning model with a grid of all possible combinations of hyperparameter values.;Technique de recherche utilisée pour définir le meilleur ensemble d'hyperparamètres dans un modèle d'apprentissage automatique avec une grille de toutes les combinaisons possibles des valeurs de chaque hyperparamètre.;;;
GROBID;GROBID;GeneRation Of BIbliographic Data;GeneRation Of BIbliographic Data;An Open Source tool for parsing and extracting structured information from technical and scientific documents in raw format like PDF. (Loterre);Outil libre permettant d'analyser et d'extraire des informations structurées à partir de documents techniques et scientifiques au format tel que le PDF. (Loterre);;;
hallucination;hallucination;;;;;;;
haplology;haplologie;haplogy;hapaxépie;;;;;
head marking;marquage de la tête;;;;;;;
head-driven phrase structure grammar;grammaire syntagmatique guidée par les têtes;HPSG;grammaire HPSG;A constraint-based or declarative approach to linguistic knowledge, which analyses all descriptive levels (phonology, morphology, syntax, semantics, pragmatics) with feature value pairs, structure sharing, and relational constraints. (https://langsci-press.org/catalog/book/259);Théorie syntaxique qui propose de scinder la description grammaticale d'une langue en principes, règles et éléments du lexique. (Wikipédia);;;
Heart of Gold;Heart of Gold;;;Middleware architecture for the integration of deep and shallow natural language processing components. It provides a uniform and flexible infrastructure for building applications that use Robust Minimal Recursion Semantics (RMRS) and/or general XML standoff annotation produced by natural language processing components. (Loterre);Architecture permettant l'intégration de composants de traitement du langage naturel. Elle fournit une infrastructure uniforme et flexible pour la construction d'applications utilisant la sémantique de récursion minimale robuste (RMRS) et/ou l'annotation standoff générale XML produite par des composants de traitement du langage naturel. (Loterre);;;
hedging;atténuation;;;;;;;
hidden dimension;dimension latente;"hidden size;latent dimension";dimension cachée;The size of the hidden state vectors in a neural network model.;Taille des vecteurs d'état cachés dans un modèle de réseau neuronal.;;;
hidden layer;couche cachée;;;Intermediate layer in a neural machine translation system in which the source text is processed according to a specific step. (Loterre);Couche synthétique d'un réseau de neurones entre la couche d'entrée et la couche de sortie. (https://datafranca.org/wiki/Couche_cachée);;;
hidden Markov model;modèle de Markov caché;HMM;HMM;A statistical model to capture hidden information from observable sequential symbols (Adapted from Franzese & Iuliano, Encyclopedia of Bioinformatics and Computational Biology, 2019);Modèle statistique qui ne prend en compte que seuls certains résultats observables connus par l’utilisateur, mais les états du processus qui causent ces résultats sont inconnus, donc « cachés ». (Data Franca);;;
hidden representation;représentation latente;"latent space;hidden state;latent representation;hidden embedding";"espace latent;représentation cachée;état latent;état caché";The abstract multidimensional space associated to each layer of a neural network where the representation of the learned data is implicitly built. Latent space contains the meaningful internal features representations of learned data, which makes it not directly interpretable. (Kaadoud et al., Explainable AI: a narrative review at the crossroad of Knowledge Discovery, Knowledge Representation and Representation Learning, 2021);Représentation de l'apprentissage fait à partir des données brutes à la sortie des couches cachées d'un réseau de neurones. (Data Franca);;;
